date,open,high,low,close,dvol
2019-01-01,130.66,140.9,129.55,139.75,
2019-01-02,139.76,156.69,138.75,153.5,
2019-01-03,153.5,154.44,144.49,147.23,
2019-01-04,147.23,155.51,145.14,153.24,
2019-01-05,153.24,160.62,152.5,154.21,
2019-01-06,154.21,159.58,148.5,155.92,
2019-01-07,155.91,157.15,148.59,150.62,
2019-01-08,150.57,152.9,146.71,148.97,
2019-01-09,149.1,152.88,148.36,149.5,
2019-01-10,149.49,150.9,122.15,126.41,
2019-01-11,126.42,128.84,121.74,125.83,
2019-01-12,125.83,127.28,123.4,124.59,
2019-01-13,124.57,125.21,113.5,115.58,
2019-01-14,115.61,132.38,115.34,128.37,
2019-01-15,128.36,130.61,116.91,120,
2019-01-16,120.01,127.6,119,122.12,
2019-01-17,122.19,123.83,117.12,122.55,
2019-01-18,122.53,122.88,118.18,119.53,
2019-01-19,119.54,126.3,119.54,123.17,
2019-01-20,123.2,123.7,115.51,117.43,
2019-01-21,117.44,118.02,113.68,115.86,
2019-01-22,115.86,119.5,110.37,118.08,
2019-01-23,118.08,118.9,115.02,116.55,
2019-01-24,116.56,117.11,113.62,116.4,
2019-01-25,116.4,117.09,114.04,114.95,
2019-01-26,114.95,117.47,114.78,115.01,
2019-01-27,115.01,115.45,110.3,111.35,
2019-01-28,111.35,112.1,100.9,105.47,
2019-01-29,105.44,105.98,102.16,104.02,
2019-01-30,104.01,109.45,102.9,107.61,
2019-01-31,107.61,109.97,104.83,105.79,
2019-02-01,105.79,107.69,103,105.88,
2019-02-02,105.85,109.98,105.16,109.3,
2019-02-03,109.3,110,104.52,105.94,
2019-02-04,105.98,107.85,105.29,106.08,
2019-02-05,106.04,106.5,105.08,106,
2019-02-06,106.02,106.31,100.15,103.36,
2019-02-07,103.32,104.77,102.75,103.21,
2019-02-08,103.22,122,102.29,117.96,
2019-02-09,117.96,119.77,116.55,118.06,
2019-02-10,118.06,125.28,115.04,123.94,
2019-02-11,123.93,124.11,118.24,119.55,
2019-02-12,119.57,122.35,117,120.82,
2019-02-13,120.81,125,119.51,120.74,
2019-02-14,120.74,123.22,118.73,119.39,
2019-02-15,119.39,123.57,119.13,120.42,
2019-02-16,120.42,123.6,120.42,121.56,
2019-02-17,121.55,134.14,121.38,132.34,
2019-02-18,132.33,147.8,131.05,144.62,
2019-02-19,144.58,149.47,142.46,142.69,
2019-02-20,142.71,148.4,138.16,147.19,
2019-02-21,147.16,148.6,141.76,144.21,
2019-02-22,144.19,147.5,142.26,146.68,
2019-02-23,146.67,159.91,144.89,157.56,
2019-02-24,157.55,165.62,131,131.76,
2019-02-25,131.76,141.09,130.61,137.64,
2019-02-26,137.63,140.63,133.03,135.66,
2019-02-27,135.74,140,125.7,134.46,
2019-02-28,134.36,139,131.66,134.48,
2019-03-01,134.48,137.53,133.52,134.72,
2019-03-02,134.71,135.39,128.85,132.32,
2019-03-03,132.31,134.41,127.49,129.78,
2019-03-04,129.79,130.22,122.75,125.24,
2019-03-05,125.24,137.49,124.78,136.3,
2019-03-06,136.3,140,129.4,137,
2019-03-07,137,139.68,134.84,136.29,
2019-03-08,136.25,138.6,130.13,132.75,
2019-03-09,132.75,138.01,132.09,136.41,
2019-03-10,136.41,136.73,133.42,134.66,
2019-03-11,134.67,135.37,130.57,132.05,
2019-03-12,132.05,134.3,127.19,132.8,
2019-03-13,132.81,132.94,130.2,131.16,
2019-03-14,131.14,135.09,128.9,131.4,
2019-03-15,131.4,136.91,131.4,135.99,
2019-03-16,135.99,147.23,135.98,140.48,
2019-03-17,140.49,140.56,136.3,138.07,
2019-03-18,138.08,141.3,135.67,137.01,
2019-03-19,137.01,138.65,136.32,138.15,
2019-03-20,138.15,139.33,135.4,138.73,
2019-03-21,138.72,139.14,132.21,134.41,
2019-03-22,134.47,136.93,134.1,135.63,
2019-03-23,135.67,137.5,135.18,136.52,
2019-03-24,136.52,136.52,133.22,135.37,
2019-03-25,135.36,136.12,130.64,133.01,
2019-03-26,133.01,133.8,131.38,133.28,
2019-03-27,133.26,139.71,133.01,139.08,
2019-03-28,139.08,139.08,136.7,137.46,
2019-03-29,137.43,143.09,136.88,142.83,
2019-03-30,142.83,145.48,140.12,142.12,
2019-03-31,142.12,142.27,140.21,141.2,
2019-04-01,141.23,143,138.81,141,
2019-04-02,140.91,167.5,140.71,164.69,
2019-04-03,164.55,180.1,150.52,161.33,
2019-04-04,161.05,164.84,153.5,157.65,
2019-04-05,157.69,169.2,155.5,166.08,
2019-04-06,166.07,173.19,160.48,165.79,
2019-04-07,165.7,177.17,164.27,174.84,
2019-04-08,174.91,187.62,173.95,180.74,
2019-04-09,180.74,180.83,174.34,175.83,
2019-04-10,175.78,185.62,169.52,177.55,
2019-04-11,177.64,177.9,160.56,164.92,
2019-04-12,164.92,168.87,159.27,164.27,
2019-04-13,164.24,166.45,161.08,163.75,
2019-04-14,163.76,169.25,161.83,168.27,
2019-04-15,168.32,169.76,156,160.24,
2019-04-16,160.03,168.6,159.46,166.38,
2019-04-17,166.38,168.73,164.55,166.54,
2019-04-18,166.53,176.17,166.01,174.15,
2019-04-19,174.15,174.84,169.14,173.83,
2019-04-20,173.83,177.84,170.87,173.73,
2019-04-21,173.74,174.45,166.33,169.9,
2019-04-22,169.89,173.65,168.21,171.58,
2019-04-23,171.59,176.94,169.01,170.14,
2019-04-24,170.21,171.08,160.3,165.75,
2019-04-25,165.54,166.34,146,152.05,
2019-04-26,152.07,156,148.26,153.41,
2019-04-27,153.42,159,152.54,155.66,
2019-04-28,155.73,156.45,152.16,153.19,
2019-04-29,153.17,154.69,148.81,152.36,
2019-04-30,152.4,161.2,152.32,160.4,
2019-05-01,160.39,163.25,156.59,158.3,
2019-05-02,158.31,160.57,155.91,158.7,
2019-05-03,158.7,169.26,157.61,164.74,
2019-05-04,164.73,168.71,158,161.85,
2019-05-05,161.93,163.4,157.28,161.25,
2019-05-06,161.26,175.97,157.78,171.07,
2019-05-07,171.08,180.69,165.2,166.51,
2019-05-08,166.5,172.03,162,169.58,
2019-05-09,169.61,173.33,165.25,170.11,
2019-05-10,170.11,176.32,167.49,172.21,
2019-05-11,172.23,207,172.19,192.52,
2019-05-12,192.59,204.19,182.39,188.23,
2019-05-13,188.23,209.85,185.62,196.51,
2019-05-14,196.38,221,195.17,217.44,
2019-05-15,217.66,250.79,216.84,249,
2019-05-16,249,281.77,242.19,264.39,
2019-05-17,264.31,269.23,222.88,244.59,
2019-05-18,244.47,249.24,231.4,234.03,
2019-05-19,234,264.77,232.44,261.09,
2019-05-20,260.44,260.83,239,252.22,
2019-05-21,252.42,264.2,247.84,254.74,
2019-05-22,254.64,261.62,240.04,243.32,
2019-05-23,243.37,248.7,231.12,245.64,
2019-05-24,245.8,256.06,242.4,249.83,
2019-05-25,249.82,258.89,248.43,251.55,
2019-05-26,251.55,271.19,245.66,268.37,
2019-05-27,268.23,279.55,262,271.24,
2019-05-28,271.53,276.5,265.45,271.15,
2019-05-29,271.15,274.25,260.2,269.39,
2019-05-30,269.39,288.77,235.44,254.62,
2019-05-31,254.7,268.55,245.05,267.74,
2019-06-01,267.68,274.99,261.3,264.78,
2019-06-02,264.72,274.75,264.11,269.23,
2019-06-03,269.24,270.3,246.6,249.55,
2019-06-04,249.4,250.99,233,240.93,
2019-06-05,240.95,249,237.55,246.32,
2019-06-06,246.28,251.29,235.32,249.4,
2019-06-07,249.54,254.4,244.84,249.49,
2019-06-08,249.47,251.17,241.52,244.3,
2019-06-09,244.3,244.97,226.56,231.3,
2019-06-10,231.36,248.16,227.52,247.84,
2019-06-11,247.75,249.38,237.33,245.11,
2019-06-12,245.16,263.81,243.01,262.92,
2019-06-13,262.89,264.75,254.2,255.4,
2019-06-14,255.29,266.21,252.42,263.8,
2019-06-15,263.83,273.3,261.57,269.29,
2019-06-16,269.26,278.83,263.02,268.33,
2019-06-17,268.35,275.93,267.69,273.97,
2019-06-18,273.9,274.24,261,264.37,
2019-06-19,264.27,270.07,263.36,268.79,
2019-06-20,268.88,274.84,266.51,272,
2019-06-21,272,299,272,296.25,
2019-06-22,296.79,315.54,293.46,308.49,
2019-06-23,308.5,318,304.6,306.98,
2019-06-24,306.85,313.1,295.68,311,
2019-06-25,311,317.4,306,316.59,
2019-06-26,316.59,364.49,308,334.86,
2019-06-27,334.81,343.82,273.5,293.47,
2019-06-28,293.47,312.9,289.66,309.37,
2019-06-29,309.38,324.5,291.25,317,
2019-06-30,317.04,323.61,286,290.07,
2019-07-01,290.08,301.32,278.65,293.7,
2019-07-02,293.72,296.24,270.42,291.25,
2019-07-03,291.25,303.83,289.61,301.79,
2019-07-04,301.77,304,280.1,282.8,
2019-07-05,282.81,294.9,280,288,
2019-07-06,287.83,298.25,285.31,287.57,
2019-07-07,287.58,310.7,283.87,306.34,
2019-07-08,306.33,315,302.24,313.24,
2019-07-09,313.23,318.6,302.78,307.92,
2019-07-10,307.95,314.98,281.3,288.64,
2019-07-11,288.68,288.68,261.57,268.68,
2019-07-12,268.88,279.3,266.37,275.55,
2019-07-13,275.62,276.34,261.79,269.04,
2019-07-14,268.99,270.02,222.7,225.76,
2019-07-15,225.96,235.87,203,228.28,
2019-07-16,228.2,234.58,190.11,198.89,
2019-07-17,198.92,221,192.04,211.4,
2019-07-18,211.55,229.99,206.2,226.31,
2019-07-19,226.29,226.78,213.15,221.21,
2019-07-20,221.3,236.58,219.98,228.89,
2019-07-21,228.84,229.85,217.04,225.64,
2019-07-22,225.7,228.28,211.45,217.13,
2019-07-23,217.13,219.11,208.43,211.93,
2019-07-24,211.96,218.14,200.5,216.59,
2019-07-25,216.55,226.22,215.19,219.28,
2019-07-26,219.29,222.12,212.69,219.35,
2019-07-27,219.42,224.14,202.46,207.11,
2019-07-28,207.11,213.98,197,211.5,
2019-07-29,211.5,215.31,205.7,210.73,
2019-07-30,210.7,214.56,204,209.83,
2019-07-31,209.8,218.92,209.53,218.7,
2019-08-01,218.68,219.3,211,217.55,
2019-08-02,217.53,222.77,214.82,217.8,
2019-08-03,217.86,224.81,215.5,222.14,
2019-08-04,222.15,224.04,217.37,222.81,
2019-08-05,222.87,236.9,222.82,233,
2019-08-06,232.91,239.45,222.05,225.81,
2019-08-07,225.82,231.22,220,225.8,
2019-08-08,225.96,226.48,213.7,220.81,
2019-08-09,220.83,221.3,206.5,210.3,
2019-08-10,210.3,214.68,200.38,206.1,
2019-08-11,206.11,216.58,205.63,216.06,
2019-08-12,216.21,216.47,209.51,211.26,
2019-08-13,211.28,211.28,202.8,208.58,
2019-08-14,208.49,209.13,181.6,186.3,
2019-08-15,186.3,191.47,171,188.2,
2019-08-16,188.2,188.21,178.47,185.26,
2019-08-17,185.25,186.9,181.57,185.59,
2019-08-18,185.59,198.17,183.31,194.74,
2019-08-19,194.74,203.91,193,202.32,
2019-08-20,202.32,202.81,194.52,196.56,
2019-08-21,196.56,197.17,180,187.37,
2019-08-22,187.29,195.11,182.53,190.41,
2019-08-23,190.42,196.66,188.56,194.59,
2019-08-24,194.55,194.59,186.02,190.89,
2019-08-25,190.9,192.76,182.04,186.59,
2019-08-26,186.6,194.28,185.51,188.3,
2019-08-27,188.26,189,184.33,186.94,
2019-08-28,186.95,187.92,165.9,172.79,
2019-08-29,172.81,173.51,163.57,168.82,
2019-08-30,168.92,170.43,165.3,168.4,
2019-08-31,168.45,175,165.5,171.93,
2019-09-01,171.89,173.98,168.03,171.29,
2019-09-02,171.31,181.78,170.54,178.8,
2019-09-03,178.81,183.15,174.2,178.96,
2019-09-04,179.09,180.33,173.29,174.82,
2019-09-05,174.83,175.82,168.82,174,
2019-09-06,174.01,178.45,164.99,169.2,
2019-09-07,169.25,181.07,168.38,178.08,
2019-09-08,178.08,184.73,176.01,181.56,
2019-09-09,181.56,186,176.11,180.63,
2019-09-10,180.64,184.55,176.6,179.64,
2019-09-11,179.65,182.49,173.7,178.3,
2019-09-12,178.31,182.66,176.46,181.09,
2019-09-13,181.05,181.85,177.57,181.65,
2019-09-14,181.65,189.32,180.4,188.85,
2019-09-15,188.88,190.99,186.3,189.3,
2019-09-16,189.31,199.55,188.23,197.59,
2019-09-17,197.59,215,195.67,207.95,
2019-09-18,207.95,217.49,207.5,210.27,
2019-09-19,210.28,224.71,200.98,220.8,
2019-09-20,220.85,222.38,212,218.06,
2019-09-21,218.02,221.61,213.35,214.8,
2019-09-22,214.87,215.45,206.02,211.1,
2019-09-23,211.17,211.6,198.18,200.8,
2019-09-24,201.06,202.72,157.75,166.26,
2019-09-25,166.26,175.25,162.25,170,
2019-09-26,170,171,152.11,165.85,
2019-09-27,165.85,177.24,161.19,174.44,
2019-09-28,174.36,176,168.21,173.9,
2019-09-29,173.9,175.26,164.34,169.38,
2019-09-30,169.39,181.85,165.2,181.17,
2019-10-01,181.22,185.89,173.85,176.15,
2019-10-02,176.14,181.66,174.15,180.82,
2019-10-03,180.9,181.26,169.59,175.05,
2019-10-04,175.11,179.69,170.77,175.97,
2019-10-05,175.97,177.05,172.27,176.73,
2019-10-06,176.72,177.12,167.5,170.18,
2019-10-07,170.18,182.5,168.61,180.26,
2019-10-08,180.29,185.3,177.42,180.72,
2019-10-09,180.73,196.09,179.2,193.26,
2019-10-10,193.26,194.85,187.29,191.79,
2019-10-11,191.86,197.93,179.23,180.84,
2019-10-12,180.94,184.87,177.27,179.86,
2019-10-13,179.76,184.75,178.63,181.18,
2019-10-14,181.12,187.91,180.52,186.85,
2019-10-15,186.86,188.58,176.48,180.58,
2019-10-16,180.56,181.2,171.7,174.5,
2019-10-17,174.55,179.71,172.79,177.31,
